Timestamp,GPU Utilization,Memory Usage,Power Usage (W)
2024-07-17T06:17:44.423803,0,1.159423828125,63.915
2024-07-17T06:17:44.457412,0,1.161376953125,65.427
2024-07-17T06:17:44.482560,0,1.190673828125,65.427
2024-07-17T06:17:44.507709,0,1.190673828125,65.427
2024-07-17T06:17:44.532875,0,1.190673828125,65.427
2024-07-17T06:17:44.558082,0,1.190673828125,63.994
2024-07-17T06:17:44.583208,0,1.190673828125,63.994
2024-07-17T06:17:44.608317,0,1.190673828125,63.994
2024-07-17T06:17:44.633440,0,1.190673828125,63.994
2024-07-17T06:17:44.658541,0,1.190673828125,63.994
2024-07-17T06:17:44.683641,0,1.190673828125,63.891
2024-07-17T06:17:44.708743,0,1.190673828125,63.891
2024-07-17T06:17:44.733854,0,1.190673828125,63.891
2024-07-17T06:17:44.758955,0,1.190673828125,63.957
2024-07-17T06:17:44.784058,0,1.190673828125,63.957
2024-07-17T06:17:44.809160,0,1.190673828125,63.957
2024-07-17T06:17:44.834280,0,1.190673828125,63.957
2024-07-17T06:17:44.859380,0,1.190673828125,63.957
2024-07-17T06:17:44.884547,0,1.190673828125,63.873
2024-07-17T06:17:44.909708,0,1.190673828125,63.873
2024-07-17T06:17:44.934809,0,1.190673828125,63.873
2024-07-17T06:17:44.959959,0,1.190673828125,63.873
2024-07-17T06:17:44.985106,0,1.190673828125,63.988
2024-07-17T06:17:45.010222,0,1.190673828125,63.988
2024-07-17T06:17:45.035334,0,1.190673828125,63.988
2024-07-17T06:17:45.060442,0,1.190673828125,63.988
2024-07-17T06:17:45.085546,0,1.190673828125,63.884
2024-07-17T06:17:45.110649,0,1.190673828125,63.884
2024-07-17T06:17:45.135772,0,1.190673828125,63.884
2024-07-17T06:17:45.160856,0,1.190673828125,63.884
2024-07-17T06:17:45.185957,0,1.190673828125,63.885
2024-07-17T06:17:45.211055,0,1.190673828125,63.885
2024-07-17T06:17:45.236151,0,1.190673828125,63.885
2024-07-17T06:17:45.261258,0,1.190673828125,63.885
2024-07-17T06:17:45.286356,0,1.190673828125,63.786
2024-07-17T06:17:45.311460,0,1.190673828125,63.786
2024-07-17T06:17:45.336605,0,1.190673828125,63.786
2024-07-17T06:17:45.361787,0,1.190673828125,63.786
2024-07-17T06:17:45.387020,0,1.190673828125,63.897
2024-07-17T06:17:45.412453,0,1.190673828125,63.897
2024-07-17T06:17:45.437680,0,1.503173828125,63.897
2024-07-17T06:17:45.462849,0,1.503173828125,63.897
2024-07-17T06:17:45.488001,0,1.503173828125,67.585
2024-07-17T06:17:45.513184,0,1.503173828125,67.585
2024-07-17T06:17:45.538323,0,1.503173828125,67.585
2024-07-17T06:17:45.563461,0,1.503173828125,67.585
2024-07-17T06:17:45.588571,0,1.503173828125,169.698
2024-07-17T06:17:45.613663,0,1.503173828125,169.698
2024-07-17T06:17:45.638824,7,1.503173828125,169.698
2024-07-17T06:17:45.663977,7,1.503173828125,169.698
2024-07-17T06:17:45.689149,7,1.503173828125,169.698
2024-07-17T06:17:45.714261,7,1.503173828125,111.441
2024-07-17T06:17:45.739374,7,1.503173828125,111.441
2024-07-17T06:17:45.764553,7,1.503173828125,111.441
2024-07-17T06:17:45.789771,7,1.503173828125,124.221
2024-07-17T06:17:45.814857,7,1.503173828125,124.221
2024-07-17T06:17:45.839971,59,1.503173828125,124.221
2024-07-17T06:17:45.865081,59,1.503173828125,124.221
2024-07-17T06:17:45.890484,59,1.503173828125,124.221
2024-07-17T06:17:45.915616,59,1.503173828125,172.838
2024-07-17T06:17:45.940769,59,1.503173828125,172.838
2024-07-17T06:17:45.965926,59,1.503173828125,172.838
2024-07-17T06:17:45.991057,59,1.503173828125,172.838
2024-07-17T06:17:46.016173,59,1.503173828125,159.99
2024-07-17T06:17:46.041951,80,1.503173828125,159.99
2024-07-17T06:17:46.067083,80,1.503173828125,159.99
2024-07-17T06:17:46.092297,80,1.503173828125,159.99
2024-07-17T06:17:46.117416,80,1.503173828125,83.602
2024-07-17T06:17:46.142528,80,1.503173828125,83.602
2024-07-17T06:17:46.167626,80,1.503173828125,83.602
2024-07-17T06:17:46.192762,80,1.505126953125,83.602
2024-07-17T06:17:46.217944,80,1.505126953125,173.238
2024-07-17T06:17:46.243136,62,1.505126953125,173.238
2024-07-17T06:17:46.268255,62,1.505126953125,173.238
2024-07-17T06:17:46.293386,62,1.505126953125,173.238
2024-07-17T06:17:46.318490,62,1.505126953125,142.325
2024-07-17T06:17:46.343581,62,1.505126953125,142.325
2024-07-17T06:17:46.368746,62,1.505126953125,142.325
2024-07-17T06:17:46.393857,62,1.505126953125,142.325
2024-07-17T06:17:46.418972,62,1.505126953125,142.325
2024-07-17T06:17:46.444081,66,1.505126953125,90.847
2024-07-17T06:17:46.469194,66,1.505126953125,90.847
2024-07-17T06:17:46.494381,66,1.505126953125,90.847
2024-07-17T06:17:46.519585,66,1.505126953125,90.847
2024-07-17T06:17:46.544705,66,1.505126953125,173.704
2024-07-17T06:17:46.569818,66,1.505126953125,173.704
2024-07-17T06:17:46.594932,66,1.505126953125,173.704
2024-07-17T06:17:46.620615,66,1.505126953125,168.729
2024-07-17T06:17:46.645782,66,1.505126953125,168.729
2024-07-17T06:17:46.670856,81,1.505126953125,168.729
2024-07-17T06:17:46.695969,81,1.505126953125,168.729
2024-07-17T06:17:46.721094,81,1.505126953125,168.729
2024-07-17T06:17:46.746211,81,1.505126953125,138.088
2024-07-17T06:17:46.771369,81,1.505126953125,138.088
2024-07-17T06:17:46.796507,81,1.505126953125,138.088
2024-07-17T06:17:46.821635,81,1.505126953125,138.088
2024-07-17T06:17:46.846745,63,1.505126953125,109.014
2024-07-17T06:17:46.871849,63,1.505126953125,109.014
2024-07-17T06:17:46.896940,63,1.505126953125,109.014
2024-07-17T06:17:46.922111,63,1.505126953125,109.014
2024-07-17T06:17:46.947238,63,1.505126953125,160.599
2024-07-17T06:17:46.972356,63,1.505126953125,160.599
2024-07-17T06:17:46.997463,63,1.505126953125,160.599
2024-07-17T06:17:47.022571,63,1.505126953125,160.599
2024-07-17T06:17:47.048003,63,1.505126953125,160.599
2024-07-17T06:17:47.073217,64,1.505126953125,160.599
