Timestamp,GPU Utilization,Memory Usage,Power Usage (W)
2024-07-19T19:00:50.662635,0,0.5152587890625,28.241
2024-07-19T19:00:50.689235,0,0.5836181640625,28.65
2024-07-19T19:00:50.715022,0,0.5836181640625,28.65
2024-07-19T19:00:50.740684,0,0.5836181640625,28.65
2024-07-19T19:00:50.766315,0,0.5836181640625,28.65
2024-07-19T19:00:50.791961,0,0.5836181640625,28.999
2024-07-19T19:00:50.817583,0,0.5836181640625,28.999
2024-07-19T19:00:50.843515,0,0.5836181640625,28.999
2024-07-19T19:00:50.869121,0,0.5836181640625,28.999
2024-07-19T19:00:50.894699,0,0.5836181640625,29.315
2024-07-19T19:00:50.920282,0,0.5836181640625,29.315
2024-07-19T19:00:50.946222,0,0.5836181640625,29.315
2024-07-19T19:00:50.972893,0,0.5836181640625,29.315
2024-07-19T19:00:50.998923,0,0.5836181640625,29.593
2024-07-19T19:00:51.025087,0,0.5836181640625,29.593
2024-07-19T19:00:51.050879,0,0.5836181640625,29.593
2024-07-19T19:00:51.076673,0,0.5836181640625,34.165
2024-07-19T19:00:51.105481,0,0.5836181640625,34.165
2024-07-19T19:00:51.131342,0,0.5836181640625,34.165
2024-07-19T19:00:51.157190,0,0.5836181640625,34.165
2024-07-19T19:00:51.183354,0,0.5836181640625,34.679
2024-07-19T19:00:51.209221,0,0.5836181640625,34.679
2024-07-19T19:00:51.235121,0,0.5836181640625,34.679
2024-07-19T19:00:51.260910,0,0.5836181640625,34.679
2024-07-19T19:00:51.286723,0,0.5836181640625,34.67
2024-07-19T19:00:51.312480,0,0.5836181640625,34.67
2024-07-19T19:00:51.338251,0,0.5836181640625,34.67
2024-07-19T19:00:51.364300,0,0.5836181640625,34.67
2024-07-19T19:00:51.389932,0,0.5836181640625,34.66
2024-07-19T19:00:51.415545,0,0.5836181640625,34.66
2024-07-19T19:00:51.441475,0,0.5836181640625,34.66
2024-07-19T19:00:51.467127,0,0.5836181640625,34.66
2024-07-19T19:00:51.493065,0,0.8511962890625,34.651
2024-07-19T19:00:51.518952,0,0.8511962890625,34.651
2024-07-19T19:00:51.544912,0,0.8511962890625,34.651
2024-07-19T19:00:51.572591,0,0.8511962890625,34.651
2024-07-19T19:00:51.598581,0,0.8511962890625,38.068
2024-07-19T19:00:51.624765,0,0.8511962890625,38.068
2024-07-19T19:00:51.650439,0,0.8511962890625,38.068
2024-07-19T19:00:51.676310,92,0.8511962890625,41.774
2024-07-19T19:00:51.709344,92,0.8511962890625,41.774
2024-07-19T19:00:51.735041,92,0.8511962890625,41.774
2024-07-19T19:00:51.760743,92,0.8511962890625,41.774
2024-07-19T19:00:51.786411,92,0.8511962890625,45.008
2024-07-19T19:00:51.812779,92,0.8511962890625,45.008
2024-07-19T19:00:51.838437,92,0.8511962890625,45.008
2024-07-19T19:00:51.864414,92,0.8511962890625,45.008
2024-07-19T19:00:51.890146,97,0.8511962890625,48.678
2024-07-19T19:00:51.916177,97,0.8511962890625,48.678
2024-07-19T19:00:51.942148,97,0.8511962890625,48.678
2024-07-19T19:00:51.967874,97,0.8511962890625,48.678
2024-07-19T19:00:51.993720,97,0.8511962890625,52.348
2024-07-19T19:00:52.019412,97,0.8511962890625,52.348
2024-07-19T19:00:52.045271,97,0.8511962890625,52.348
2024-07-19T19:00:52.070909,97,0.8511962890625,52.348
2024-07-19T19:00:52.096765,95,0.8511962890625,55.646
2024-07-19T19:00:52.122745,95,0.8511962890625,55.646
2024-07-19T19:00:52.148392,95,0.8511962890625,55.646
2024-07-19T19:00:52.175750,95,0.8511962890625,56.196
2024-07-19T19:00:52.204439,95,1.0914306640625,56.196
2024-07-19T19:00:52.230134,95,1.0914306640625,56.196
2024-07-19T19:00:52.255854,95,1.0914306640625,56.196
2024-07-19T19:00:52.281752,79,1.0914306640625,59.469
2024-07-19T19:00:52.307449,79,1.0914306640625,59.469
2024-07-19T19:00:52.333635,79,1.0914306640625,59.469
2024-07-19T19:00:52.359323,79,1.0914306640625,59.469
2024-07-19T19:00:52.385247,79,1.0914306640625,62.703
2024-07-19T19:00:52.410917,79,1.0914306640625,62.703
2024-07-19T19:00:52.436602,79,1.0914306640625,62.703
2024-07-19T19:00:52.462634,79,1.0914306640625,62.703
2024-07-19T19:00:52.488312,92,1.0914306640625,65.907
2024-07-19T19:00:52.513901,92,1.0914306640625,65.907
2024-07-19T19:00:52.539629,92,1.0914306640625,65.907
2024-07-19T19:00:52.565639,92,1.0914306640625,65.907
2024-07-19T19:00:52.591297,92,1.0914306640625,69.068
2024-07-19T19:00:52.617081,92,1.0914306640625,69.068
2024-07-19T19:00:52.643410,92,1.0914306640625,69.068
2024-07-19T19:00:52.671746,92,1.0914306640625,69.068
2024-07-19T19:00:52.697662,90,1.0914306640625,68.727
2024-07-19T19:00:52.723736,90,1.0914306640625,68.727
2024-07-19T19:00:52.750145,90,1.0914306640625,68.727
2024-07-19T19:00:52.776445,90,1.0914306640625,67.843
2024-07-19T19:00:52.802458,90,1.0914306640625,67.843
2024-07-19T19:00:52.828154,90,1.0914306640625,67.843
2024-07-19T19:00:52.853856,90,1.0914306640625,67.843
2024-07-19T19:00:52.879643,91,1.0914306640625,66.807
2024-07-19T19:00:52.905518,91,1.0914306640625,66.807
2024-07-19T19:00:52.931215,91,1.0914306640625,66.807
2024-07-19T19:00:52.956889,91,1.0914306640625,66.807
2024-07-19T19:00:52.984805,91,1.0914306640625,66.186
2024-07-19T19:00:53.010805,91,1.0914306640625,66.186
2024-07-19T19:00:53.037000,91,1.0914306640625,66.186
2024-07-19T19:00:53.063016,91,1.0914306640625,66.186
2024-07-19T19:00:53.088677,92,1.0914306640625,66.218
2024-07-19T19:00:53.114294,92,1.0914306640625,66.218
2024-07-19T19:00:53.140911,92,1.0914306640625,66.218
2024-07-19T19:00:53.167582,92,1.0914306640625,66.218
2024-07-19T19:00:53.193426,92,1.0914306640625,66.662
2024-07-19T19:00:53.219074,92,1.0914306640625,66.662
2024-07-19T19:00:53.244764,92,1.0914306640625,66.662
2024-07-19T19:00:53.270625,92,1.0914306640625,66.662
2024-07-19T19:00:53.296958,92,1.0914306640625,70.328
2024-07-19T19:00:53.322936,92,1.0914306640625,70.328
2024-07-19T19:00:53.348595,92,1.0914306640625,70.328
2024-07-19T19:00:53.374259,92,1.0914306640625,70.709
2024-07-19T19:00:53.400056,92,1.0914306640625,70.709
2024-07-19T19:00:53.426367,92,1.0914306640625,70.709
2024-07-19T19:00:53.451959,92,1.0914306640625,70.709
2024-07-19T19:00:53.477576,96,1.0914306640625,71.044
2024-07-19T19:00:53.505359,96,1.0914306640625,71.044
2024-07-19T19:00:53.531021,96,1.0914306640625,71.044
2024-07-19T19:00:53.556670,96,1.0914306640625,71.044
2024-07-19T19:00:53.582687,96,1.0914306640625,71.517
2024-07-19T19:00:53.608322,96,1.0914306640625,71.517
2024-07-19T19:00:53.634001,96,1.0914306640625,71.517
2024-07-19T19:00:53.659663,96,1.0914306640625,71.517
